Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Brazil,BRA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.9245334488295
Brazil,BRA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.9887821931674
Brazil,BRA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.9284816956883
Brazil,BRA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.4478723735185
Brazil,BRA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.9746809696894
Brazil,BRA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.9466843101456
Brazil,BRA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7181645677148
Brazil,BRA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7273771437186
Brazil,BRA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7225913899504
Brazil,BRA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.4998145520415
Brazil,BRA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.6369263974999
Brazil,BRA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.5948828028724
Brazil,BRA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.5589186110785
Brazil,BRA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.1206632097572
Brazil,BRA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.8094695709811
Brazil,BRA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.5219654133575
Brazil,BRA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.2756187381403
Brazil,BRA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.1982091709399
Brazil,BRA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.1207996037396
Brazil,BRA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.0554740648039
Brazil,BRA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.990028882024
Brazil,BRA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.9245836992441
Brazil,BRA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.080616022225
Brazil,BRA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.8467123068051
Brazil,BRA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.5172131598657
Brazil,BRA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.305682843312
Brazil,BRA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9069099105782
Brazil,BRA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.646564905589
Brazil,BRA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4377863974521
Brazil,BRA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2109416688402
Brazil,BRA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0032399553011
Brazil,BRA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.6426334088685
Brazil,BRA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.508991234892
Brazil,BRA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3770240747343
Brazil,BRA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2950680414542
Brazil,BRA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.0184514736532
Brazil,BRA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.833482090513
Brazil,BRA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.6223107054919
Brazil,BRA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.3263118349298
Brazil,BRA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.1481621509092
Brazil,BRA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.8439078550969
Brazil,BRA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.5339106547629
Brazil,BRA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.1303519682609
Brazil,BRA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.6300014117974
Brazil,BRA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.2681984269227
Brazil,BRA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.8847399062471
Brazil,BRA,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.3780482260407
Brazil,BRA,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.1843448422735
Brazil,BRA,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.1607917551034
